Disease Name,Orpha Code(s),ICD-10 Code(s),Prevalence (per 100k),Typical Age of Onset,Justification (<=50 words),Standardized keywords or categories for disease classification and identification
Noonan syndrome,ORPHA:648,Q87.1 (syndromes w/ short stature),~40,Neonatal/Infancy,"RASopathy with short stature, CHD, typical facies. ~1:2,500 births => ~40/100k. No unique code (Q87.1).",Genetic syndrome; Cardiology; Dysmorphology
CHARGE syndrome,ORPHA:138,Q87.8 (other specified congenital malformations),~10-12,Neonatal,"CHD7-related syndrome: coloboma, heart defects, atresia choanae, etc. ~1:8,500-10,000 births => ~10-12/100k. No unique code, lumps under Q87.8.",Genetic syndrome; ENT; Cardiology; Ophthalmology
Pierre Robin sequence (isolated),ORPHA:718,Q87.0 (craniofacial malformation),~10-12,Neonatal,"Triad of micrognathia, glossoptosis, ± cleft palate. ~1:8,500-14,000 => ~10-12/100k. No unique code, lumps under craniofacial anomalies.",Craniofacial; Respiratory; Neonatology
Goldenhar syndrome (Oculo-auriculo-vertebral spectrum),ORPHA:141132,Q87.0 (craniofacial malformation syndromes),~15-18,Neonatal,"Hemifacial microsomia w/ ear, vertebra, ocular issues. ~1:5,600-1:26,000 => ~15-18/100k. No specific ICD code, lumps under Q87.0.",Craniofacial; Orthopedics; Dysmorphology
Primary ciliary dyskinesia (PCD),ORPHA:244,J98.8 (other resp. disorders) ± Q89.3 if situs inversus,~13,Infancy/Childhood,"Recurrent sinopulmonary infections ± situs inversus. Prevalence ~1:7,500 => ~13/100k. No code, lumps under chronic respiratory NOS.",Pulmonology; ENT; Genetics
-gardt disease (juvenile macular dystrophy),ORPHA:827,H35.5 (hereditary retinal dystrophy),~10-12.5,Childhood/Adolescence,"AR macular degeneration, central vision loss. ~1:8k => ~12/100k. Lacks unique code, lumps under H35.5.",Ophthalmology; Genetics
Usher syndrome (types 1-3),ORPHA:886,H35.5 + H90.5 (RP + hearing loss),~10-17,Childhood,"Deafness + progressive retinitis pigmentosa. Overall ~3-6 per 50k => ~10-17/100k. No single code, hearing/vision coded separately.",Audiology; Ophthalmology; Genetics
Stickler syndrome,ORPHA:828,Q87.0 (craniofacial or skeletal anomaly),~13,Childhood,"AD collagen disorder w/ cleft palate, myopia, hearing loss, arthritis. ~1:7,500 => ~13/100k. No dedicated code, lumps under Q87.0.",Genetics; Ophthalmology; Audiology; Orthopedics
1p36 deletion syndrome,ORPHA:1606,Q93.5 (other chromosome deletions),~20,Infancy,"Most common terminal deletion (~1:5-10k => ~10-20/100k). ID, hypotonia, seizures. No unique code, lumps under Q93.5.",Chromosomal; Neurology; Dysmorphology
16p11.2 microdeletion syndrome,ORPHA:261197,Q93.5 (other chromosome deletions),~20,Childhood,"Recurrent 16p11.2 proximal deletion: dev delay, autism. ~1:5k => ~20/100k. Lacks unique code, lumps under Q93.5.",Chromosomal; Neurodevelopment; Endocrinology
