Disease Name,Orphanet,ICD-10,ICD-10 Description,ICD Specificity,Prevalence Range per 100k,Prevalence Estimate per 100K,Typical Age of Onset,GIC hits via API for broader,GIC hits via API for specific,Justification
Noonan syndrome,"ORPHA:648;ORPHA:500",Q87.1; Q87.19,Congenital malformation syndromes predominantly associated with short stature; Other congenital malformation syndromes predominantly associated with short stature,Broad; Fairly Specific,10 to 50,40-100,Neonatal/Infancy/Childhood/Adult,,,"Noonan syndrome, a RASopathy, frequently experiences diagnostic delays due to multisystem manifestations (cardiac defects, short stature, characteristic facial features) being evaluated separately. Early, accurate diagnosis significantly improves management of cardiovascular risks and developmental support. AI/NLP techniques can efficiently detect its characteristic clinical patterns from medical records, shortening the diagnostic odyssey."
Williams syndrome,ORPHA:904,Q93.8; Q93.82,Other deletions from the autosomes; Williams syndrome,Broad; Specific,10 to 50,13,Infancy/Childhood,,,"Williams syndrome has diagnostic delays due to variable combination of supravalvular aortic stenosis, hypercalcemia, and developmental delays being assessed separately. Early recognition through characteristic features (elfin facies, distinct cognitive profile) enables critical monitoring of cardiovascular and metabolic risks. AI-driven phenotyping from clinical notes and imaging can significantly reduce diagnostic delays"
22q11.2 deletion syndrome (DiGeorge),ORPHA:567,D82.1,22q11.2 deletion syndrome,Specific,10 to 50,10-22,Neonatal/Infancy,,1881,"DiGeorge syndrome (22q11.2 deletion syndrome) often undergoes a lengthy diagnostic journey due to variable multisystem presentation (congenital heart defects, immunodeficiency, cleft palate, developmental delays). Early recognition impacts outcomes through timely cardiac interventions, infection prevention, and developmental support. AI-driven analysis can efficiently identify characteristic patterns, significantly shortening diagnostic delays."
Heterotaxy syndrome (situs ambiguus),ORPHA:101063,Q89.3,Situs inversus totalis,Specific,10 to 50,10,Neonatal,,,"Situs inversus involves reversed visceral organs, often leading to delayed recognition of associated congenital heart disease, asplenia, and malrotation. Early diagnosis significantly reduces surgical risk and guides infection prevention. AI-driven analysis of clinical imaging and records can detect hallmark anatomical patterns, ensuring timely diagnosis and intervention."
Marfan syndrome,"ORPHA:558;ORPHA:284963; ORPHA:284973; ORPHA:284993",Q87.4,Marfan syndrome,Specific,10 to 50,20,Adolescence,,,"Marfan syndrome often remains undiagnosed due to its subtle, variable features (tall stature, lens dislocation) until life-threatening aortic complications occur. Early diagnosis enables proactive cardiovascular surveillance, dramatically improving outcomes. AI-driven detection of characteristic signs from clinical narratives facilitates prompt genetic evaluation and preventive intervention."
Arterial Tortuosity Syndrome,3342,Q87.8; Q87.82,"Other specified congenital malformation syndromes, not elsewhere classified; Arterial tortuosity syndrome",Broad; Specific,0.9 to 9,<0.1,Infancy,,,"Arterial Tortuosity syndrome, a rare connective tissue disorder, frequently goes undetected until serious vascular events occur due to subtle symptoms. Early diagnosis enables life-saving monitoring and intervention. AI-driven analysis of imaging reports can rapidly identify characteristic arterial elongation and twisting, significantly shortening the diagnostic timeline"
Alagille Syndrome,ORPHA:52,Q44.7; Q44.72,Other congenital malformations of liver; Alagille syndrome,Specific,0.9 to 9,1,Neonatal-Adolescence,,,"Alagille syndrome, involving cardiac, hepatic, and ocular manifestations, often experiences delayed diagnosis due to its variable clinical expression. Early identification is critical for managing congenital heart defects and liver disease. NLP-driven analysis linking neonatal records (butterfly vertebrae, cholestasis, heart murmurs) facilitates prompt recognition, significantly improving clinical outcomes"
Treacher Collins syndrome,ORPHA:2310,Q75.4,Mandibulofacial dysostosis,Fairly specific (also includes Franceschetti syndrome),0.9 to 9,2,Neonatal,,,"Treacher Collins syndrome (mandibulofacial dysostosis) is frequently missed when mild, initially diagnosed as isolated micrognathia or hearing loss. Early detection enables crucial airway interventions and hearing support. AI-driven integration of neonatal facial dysmorphism descriptions with audiology results facilitates timely recognition, significantly improving patient management"
Moebius syndrome,ORPHA:558,Q87.0,Congenital malformation syndromes predominantly affecting facial appearance,Broad,0.9 to 9,0.2-2,Neonatal,,,"Moebius syndrome, congenital paralysis of cranial nerves VI and VII, often causes delayed diagnosis, misinterpreted as isolated feeding difficulty or strabismus. Early recognition enables targeted feeding and developmental support. AI-driven analysis of neonatal records can link absent facial expressions with feeding issues, prompting earlier diagnosis and intervention"
Epidermolysis bullosa (EB),ORPHA:304; ORPHA:305; ORPHA:303,Q81.9,"Epidermolysis bullosa, unspecified",Specific,0.9 to 9,1.1,Neonatal,,,"Epidermolysis bullosa, a genetic skin fragility disorder causing blistering from birth, often faces delayed diagnosis due to initial misdiagnosis as infections or trauma. Early recognition facilitates critical wound and nutritional management. NLP detection of recurrent ER visits for blisters or persistent wounds in neonatal records can accelerate timely diagnosis"
