Disease Name,Orpha Code(s),ICD-10 Code(s),Prevalence (per 100k),Typical Age of Onset,Justification (�50 words),Standardized keywords or categories for disease classification and identification,
22q11.2 Deletion Syndrome (DiGeorge),ORPHA:567,D82.1,~20,Neonatal/Infancy,Chromosomal microdeletion (~20/100k US). Presents in infancy with cardiac/immune anomalies. Non-infectious. ICD-10-CM D82.1 is specific.,"Genetics, Immunology, Cardiology",
Alpha-1 Antitrypsin Deficiency,ORPHA:60,E88.01,~25,Infancy/Childhood,"Serpin defect (~25/100k US). Presents with liver disease in infancy or lung disease later. Non-infectious, single ICD-10-CM code.","Pulmonology, Hepatology",
Angelman Syndrome,ORPHA:72,Q93.51,~8,Infancy,"Neurogenetic disorder ~8/100k in the US. Severe developmental delay by infancy. Non-infectious, single ICD-10-CM code Q93.51.","Neurology, Genetics",
Autosomal Recessive Polycystic Kidney Disease (ARPKD),ORPHA:731,Q61.1,~23,Neonatal,"Congenital cystic kidneys (~23/100k). Presents at birth with enlarged kidneys, respiratory issues. ICD-10-CM Q61.1 is ARPKD-specific.","Nephrology, Hepatology",
Beckwith-Wiedemann Syndrome,ORPHA:116,Q87.3,~10,Neonatal,"Imprinting disorder (~10/100k). Overgrowth, hypoglycemia at birth. Non-infectious; Q87.3 is used for Beckwith-Wiedemann.","Genetics, Endocrinology",
Charcot-Marie-Tooth Disease,ORPHA:166,G60.0,~24,Childhood,"Inherited neuropathy (~24/100k). Progressive distal muscle weakness, foot deformities. Non-acquired; G60.0 is CMT-specific.",Neurology,
CHARGE Syndrome,ORPHA:138,Q87.8,~8,Neonatal,"Multiple congenital anomalies (~8/100k). Presents at birth with coloboma, choanal atresia, etc. ICD-10-CM Q87.8 typically used for CHARGE.","Genetics, Cardiology, Ophthalmology",
Coarctation of Aorta,ORPHA:1457,Q25.1,~32,Neonatal,"Congenital aortic narrowing (~32/100k). Presents in infancy with weak femoral pulses, heart failure. Q25.1 is specific.",Cardiology,
Congenital Adrenal Hyperplasia (21-hydroxylase),ORPHA:90794,E25.0,~10,Neonatal,AR cortisol synthesis defect (~10/100k). Presents in neonates with salt-wasting or virilization. E25.0 specifically for CAH.,"Endocrinology, Genetics",
Congenital Diaphragmatic Hernia,ORPHA:2140,Q79.0,~25,Neonatal,Defect in diaphragm (~25/100k). Presents at birth with respiratory distress. ICD-10-CM Q79.0 is specific.,Pulmonology,
Congenital Hydrocephalus (isolated),ORPHA:2185,Q03.x,~50,Neonatal,"Excess CSF (~1 in 2,000 births = 50/100k). Detected at or soon after birth. Q03.* covers congenital hydrocephalus.",Neurology,
Congenital Hypothyroidism (primary),ORPHA:95711,"E03.0,E03.1",~20�30,Neonatal,Thyroid dysgenesis (~20�30/100k). Detected by newborn screen. E03.0/E03.1 for congenital hypothyroidism.,Endocrinology,
